
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
;Habitação, água, electricidade, gás e outros combustíveis;0,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,3;
;Saúde;6,5;
;Transportes;4,3;
;Comunicações;5,2;
;Lazer, recreação e cultura;3,7;
;Educação;5,5;
;Restaurantes e hotéis;3,4;
;Bens e serviços diversos;4,7;
Novembro de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Outubro de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Setembro de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Agosto de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Julho de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Junho de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Maio de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Abril de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Março de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Fevereiro de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Janeiro de 1996;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Dezembro de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Novembro de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Outubro de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Setembro de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Agosto de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Julho de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Junho de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Maio de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Abril de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Março de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Fevereiro de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;
Janeiro de 1995;Total;- -;
;Produtos alimentares e bebidas não alcoólicas;- -;
;Bebidas alcoólicas e tabaco;- -;
;Vestuário e calçado;- -;
;Habitação, água, electricidade, gás e outros combustíveis;- -;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;- -;
;Saúde;- -;
;Transportes;- -;
;Comunicações;- -;
;Lazer, recreação e cultura;- -;
;Educação;- -;
;Restaurantes e hotéis;- -;
;Bens e serviços diversos;- -;

Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal - INE, Índice de preços no consumidor


Última atualização destes dados: 13 de janeiro de 2025


Metainformação associada ao quadro

Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %)
Designação;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal
Periodicidade;Mensal
Fonte;INE, Índice de preços no consumidor
Primeiro período disponível;Janeiro de 1995
Último período disponível;Dezembro de 2024
Dimensões
     Dimensão 1;Período de referência dos dados (Mês)
     Dimensão 2;Localização geográfica (Portugal)
     Dimensão 3;Consumo individual por objetivo
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     PREÇO NO CONSUMIDOR;Quantia paga pelas famílias na aquisição de bens e serviços individuais baseados em transações monetárias. Esta quantia corresponde ao valor que o adquirente efetivamente paga no momento de aquisição e inclui todos os impostos indiretos líquidos de subsídios sobre os produtos, reduções e descontos desde que de aplicação generalizada aos consumidores, e exclui juros e outros custos associados à compra a crédito.
Definição;A variação média dos últimos doze meses compara o nível do índice médio de preços dos últimos doze meses com os doze meses imediatamente anteriores. Por ser uma média móvel, esta taxa de variação é menos sensível a alterações esporádicas nos preços. O valor obtido no mês de Dezembro tem sido utilizado como referência no plano da concertação social, sendo por isso associado à taxa de inflação anual.

Fórmula;&lt - p&gt - [(IPC ano n)/ (IPC ano (n-1))-1]*100&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;13-Jan-2025
